product_id,product_name,category,price
1,Wireless Mouse,Home,145.75
2,Mechanical Keyboard,Home,62.92
3,USB-C Charger,Clothing,7.46
4,Bluetooth Speaker,Home,383.67
5,Gaming Headset,Beauty,405.74
6,Smartphone Stand,Home,207.63
7,Laptop Sleeve,Electronics,492.04
8,Portable SSD,Clothing,177.18
9,Webcam HD,Home,59.68
10,LED Desk Lamp,Electronics,218.51
11,Running Shoes,Electronics,297.66
12,Yoga Mat,Clothing,212.35
13,Dumbbells Set,Home,158.32
14,Football,Beauty,42.62
15,Basketball,Home,304.45
16,T-Shirt,Beauty,404.54
17,Jeans,Beauty,6.1
18,Hoodie,Beauty,126.83
19,Jacket,Home,113.68
20,Sneakers,Beauty,196.56
21,Cookware Set,Clothing,198.82
22,Blender,Electronics,234.8
23,Coffee Maker,Sports,91.55
24,Air Fryer,Beauty,300.06
25,Vacuum Cleaner,Home,462.05
26,Desk Organizer,Clothing,275.47
27,Office Chair,Electronics,427.6
28,Water Bottle,Sports,227.96
29,Backpack,Beauty,430.4
30,Travel Mug,Electronics,418.4
31,Novel Book,Sports,62.42
32,Notebook,Beauty,20.56
33,Planner,Electronics,178.05
34,Pen Set,Clothing,389.04
35,Highlighter Pack,Electronics,17.19
36,Face Wash,Books,134.87
37,Moisturizer,Home,183.35
38,Shampoo,Books,368.32
39,Conditioner,Books,86.13
40,Sunscreen,Clothing,86.44
41,Smart Watch,Sports,350.8
42,Fitness Tracker,Beauty,5.83
43,Tablet Stand,Beauty,178.4
44,Phone Tripod,Books,476.86
45,Noise Cancelling Earbuds,Home,131.98
46,Graphic T-Shirt,Beauty,490.36
47,Sports Shorts,Books,156.26
48,Winter Scarf,Sports,283.1
49,Beanie Hat,Clothing,397.12
50,Leather Belt,Electronics,86.04
51,Cutting Board,Clothing,343.03
52,Kitchen Knife,Sports,405.01
53,Food Storage Set,Electronics,423.67
54,Electric Kettle,Sports,138.19
55,Rice Cooker,Books,64.92
56,Resistance Bands,Beauty,228.16
57,Skipping Rope,Books,371.32
58,Camping Lantern,Beauty,437.65
59,Hiking Backpack,Sports,151.48
60,Cycling Gloves,Electronics,484.05
