order_item_id,order_id,product_id,quantity,price
1,1195,2,3,188.76
2,1479,15,1,304.45
3,1479,9,5,298.4
4,1734,38,4,1473.28
5,1979,2,1,62.92
6,1279,15,5,1522.25
7,1279,33,1,178.05
8,1077,46,5,2451.8
9,1077,42,4,23.32
10,1101,29,3,1291.2
11,1101,38,1,368.32
12,2052,45,3,395.94
13,2052,28,3,683.88
14,1633,14,3,127.86
15,1633,49,1,397.12
16,1760,25,1,462.05
17,1774,55,3,194.76
18,1774,23,1,91.55
19,1774,39,4,344.52
20,1071,60,4,1936.2
21,1160,36,3,404.61
22,1425,37,1,183.35
23,1425,13,1,158.32
24,1425,46,2,980.72
25,2077,6,1,207.63
26,2077,55,4,259.68
27,2077,15,3,913.35
28,1482,41,3,1052.4
29,1482,54,3,414.57
30,1482,24,2,600.12
31,1482,11,3,892.98
32,1251,39,2,172.26
33,1717,11,4,1190.64
34,1717,30,3,1255.2
35,1838,44,1,476.86
36,1838,21,2,397.64
37,1271,52,3,1215.03
38,1005,18,5,634.15
39,1005,5,3,1217.22
40,1005,14,2,85.24
41,1005,59,4,605.92
42,1613,57,2,742.64
43,1613,59,3,454.44
44,1613,42,2,11.66
45,1613,30,2,836.8
46,1778,48,5,1415.5
47,1778,38,4,1473.28
48,1778,28,3,683.88
49,2020,9,4,238.72
50,2020,33,1,178.05
51,2064,56,1,228.16
52,1644,41,4,1403.2
53,1644,11,5,1488.3
54,1893,25,4,1848.2
55,2076,34,1,389.04
56,2076,17,1,6.1
57,2076,36,5,674.35
58,2076,56,3,684.48
59,1073,8,2,354.36
60,1073,19,4,454.72
61,1073,28,1,227.96
62,1805,33,5,890.25
63,1805,49,1,397.12
64,1805,12,3,637.05
65,1953,10,2,437.02
66,1953,24,5,1500.3
67,1721,39,3,258.39
68,2005,2,3,188.76
69,2005,8,2,354.36
70,2005,60,1,484.05
71,2005,24,2,600.12
72,2034,6,4,830.52
73,2045,49,5,1985.6
74,1409,9,4,238.72
75,1409,43,5,892.0
76,1623,17,5,30.5
77,1623,34,4,1556.16
78,1393,60,2,968.1
79,1393,35,3,51.57
80,1944,43,5,892.0
81,1944,42,4,23.32
82,1944,24,1,300.06
83,1944,29,2,860.8
84,1300,5,1,405.74
85,1300,22,5,1174.0
86,1381,38,1,368.32
87,1381,15,1,304.45
88,1996,15,1,304.45
89,1934,56,3,684.48
90,2091,33,2,356.1
91,1975,43,5,892.0
92,1975,32,2,41.12
93,1975,14,5,213.1
94,1273,16,4,1618.16
95,1273,51,2,686.06
96,1273,31,1,62.42
97,1273,52,1,405.01
98,1755,23,1,91.55
99,1755,28,1,227.96
100,1755,27,1,427.6
101,1755,30,4,1673.6
102,2021,52,2,810.02
103,2021,56,2,456.32
104,2021,7,2,984.08
105,1941,9,4,238.72
106,1941,28,2,455.92
107,1941,12,1,212.35
108,1941,18,4,507.32
109,1652,4,5,1918.35
110,1596,6,2,415.26
111,1818,27,4,1710.4
112,1818,32,2,41.12
113,2100,58,1,437.65
114,2100,4,4,1534.68
115,2100,11,3,892.98
116,2100,25,4,1848.2
117,1346,28,5,1139.8
118,1346,45,4,527.92
119,1346,47,2,312.52
120,2003,19,1,113.68
121,2003,14,5,213.1
122,1016,48,3,849.3
123,1378,4,5,1918.35
124,1629,33,2,356.1
125,1629,59,1,151.48
126,1629,55,5,324.6
127,1629,34,1,389.04
128,1743,5,1,405.74
129,1743,39,2,172.26
130,1045,8,5,885.9
131,1045,57,5,1856.6
132,1045,37,1,183.35
133,1045,16,5,2022.7
134,1305,27,5,2138.0
135,1464,60,3,1452.15
136,1464,17,2,12.2
137,1464,14,3,127.86
138,1842,9,4,238.72
139,1842,43,3,535.2
140,1842,42,1,5.83
141,1842,20,1,196.56
142,1260,40,5,432.2
143,1260,37,2,366.7
144,1260,7,5,2460.2
145,1260,5,3,1217.22
146,1240,60,1,484.05
147,1240,23,2,183.1
148,1456,19,5,568.4
149,1456,11,3,892.98
150,1456,29,5,2152.0
151,1954,43,5,892.0
152,1133,60,2,968.1
153,1133,43,3,535.2
154,1133,7,1,492.04
155,1552,48,5,1415.5
156,2094,18,5,634.15
157,2094,19,2,227.36
158,1117,14,3,127.86
159,1117,44,5,2384.3
160,1117,41,4,1403.2
161,1303,58,1,437.65
162,1303,59,1,151.48
163,1303,55,4,259.68
164,1864,3,2,14.92
165,1864,1,3,437.25
166,1864,22,2,469.6
167,2010,36,1,134.87
168,2010,46,1,490.36
169,2010,28,2,455.92
170,2010,1,5,728.75
171,1134,54,3,414.57
172,1507,28,1,227.96
173,1507,9,3,179.04
174,1900,58,1,437.65
175,1900,60,3,1452.15
176,1900,51,2,686.06
177,1945,43,3,535.2
178,1945,7,5,2460.2
179,2097,40,2,172.88
180,2097,48,2,566.2
181,2097,10,2,437.02
182,2097,60,4,1936.2
183,1189,12,3,637.05
184,1932,52,2,810.02
185,1932,43,3,535.2
186,1932,56,2,456.32
187,1932,48,1,283.1
188,1793,56,2,456.32
189,1793,3,2,14.92
190,1793,55,4,259.68
191,1793,31,3,187.26
192,1832,53,2,847.34
193,1832,51,2,686.06
194,1832,56,1,228.16
195,1380,26,3,826.41
196,1380,22,1,234.8
197,1785,23,4,366.2
198,1785,42,5,29.15
199,1785,33,3,534.15
200,1405,8,3,531.54
201,1566,38,1,368.32
202,1566,17,1,6.1
203,1627,23,4,366.2
204,1627,47,5,781.3
205,1627,51,5,1715.15
206,1627,21,1,198.82
207,2004,58,1,437.65
208,2004,37,4,733.4
209,2004,13,1,158.32
210,2004,17,5,30.5
211,2081,24,1,300.06
212,2081,28,3,683.88
213,1481,43,3,535.2
214,1481,55,5,324.6
215,1481,8,3,531.54
216,1512,21,5,994.1
217,1512,26,2,550.94
218,1512,45,2,263.96
219,1512,19,4,454.72
220,1524,44,5,2384.3
221,1524,48,5,1415.5
222,1524,58,3,1312.95
223,1524,12,4,849.4
224,1563,20,3,589.68
225,1729,28,5,1139.8
226,1729,51,5,1715.15
227,1611,30,2,836.8
228,1611,29,5,2152.0
229,1611,44,4,1907.44
230,1147,43,3,535.2
231,1147,6,5,1038.15
232,1494,6,2,415.26
233,1494,53,3,1271.01
234,1494,49,2,794.24
235,1610,10,1,218.51
236,1610,2,2,125.84
237,1716,40,4,345.76
238,1716,55,4,259.68
239,1716,50,5,430.2
240,1716,5,2,811.48
241,1877,32,1,20.56
242,1877,26,1,275.47
243,1877,16,4,1618.16
244,1877,10,2,437.02
245,1094,52,5,2025.05
246,1094,45,4,527.92
247,1992,36,2,269.74
248,1166,30,2,836.8
249,1249,43,3,535.2
250,1249,34,4,1556.16
251,1249,36,5,674.35
252,1249,39,5,430.65
253,2086,54,2,276.38
254,2086,59,4,605.92
255,2086,36,4,539.48
256,2086,29,3,1291.2
257,1210,54,3,414.57
258,1210,41,5,1754.0
259,1206,41,1,350.8
260,1206,16,3,1213.62
261,1206,18,2,253.66
262,1206,29,3,1291.2
263,1263,21,1,198.82
264,1263,58,2,875.3
265,1263,35,2,34.38
266,1449,25,2,924.1
267,1449,45,2,263.96
268,1084,27,4,1710.4
269,1437,35,1,17.19
270,1437,30,2,836.8
271,1437,27,4,1710.4
272,1670,58,1,437.65
