order_id,customer_id,order_date,status
1195,29,2023-01-02,shipped
1479,7,2023-01-02,delivered
1734,71,2023-01-02,delivered
1979,63,2023-01-02,pending
1279,58,2023-01-03,delivered
1077,36,2023-01-04,shipped
1101,27,2023-01-05,delivered
2052,140,2023-01-05,shipped
1633,23,2023-01-06,pending
1760,109,2023-01-06,returned
1774,9,2023-01-06,cancelled
1071,8,2023-01-07,shipped
1160,24,2023-01-08,delivered
1425,56,2023-01-08,delivered
2077,60,2023-01-09,delivered
1482,130,2023-01-11,delivered
1251,7,2023-01-12,delivered
1717,144,2023-01-16,returned
1838,51,2023-01-16,delivered
1271,140,2023-01-17,cancelled
1005,108,2023-01-21,delivered
1613,57,2023-01-21,delivered
1778,115,2023-01-21,cancelled
2020,72,2023-01-21,returned
2064,2,2023-01-21,processing
1644,41,2023-01-24,pending
1893,109,2023-01-24,delivered
2076,88,2023-01-24,processing
1073,72,2023-01-25,delivered
1805,40,2023-01-26,delivered
1953,56,2023-01-26,delivered
1721,87,2023-01-27,delivered
2005,27,2023-01-27,delivered
2034,24,2023-01-27,delivered
2045,98,2023-01-27,delivered
1409,25,2023-01-29,processing
1623,92,2023-01-29,delivered
1393,89,2023-01-30,delivered
1944,68,2023-01-30,cancelled
1300,12,2023-01-31,cancelled
1381,118,2023-01-31,processing
1996,138,2023-01-31,delivered
1934,32,2023-02-01,cancelled
2091,97,2023-02-02,delivered
1975,21,2023-02-03,cancelled
1273,142,2023-02-05,delivered
1755,76,2023-02-05,returned
2021,93,2023-02-05,delivered
1941,148,2023-02-06,delivered
1652,50,2023-02-07,cancelled
1596,18,2023-02-08,delivered
1818,12,2023-02-08,processing
2100,59,2023-02-08,delivered
1346,75,2023-02-09,delivered
2003,21,2023-02-09,delivered
1016,60,2023-02-10,pending
1378,26,2023-02-10,shipped
1629,98,2023-02-12,cancelled
1743,72,2023-02-12,delivered
1045,117,2023-02-13,delivered
1305,94,2023-02-13,cancelled
1464,42,2023-02-13,delivered
1842,95,2023-02-13,returned
1260,91,2023-02-14,delivered
1240,54,2023-02-15,shipped
1456,69,2023-02-16,processing
1954,19,2023-02-16,delivered
1133,44,2023-02-17,delivered
1552,137,2023-02-17,delivered
2094,63,2023-02-17,cancelled
1117,42,2023-02-19,processing
1303,119,2023-02-20,shipped
1864,98,2023-02-20,shipped
2010,70,2023-02-20,delivered
1134,143,2023-02-22,delivered
1507,57,2023-02-22,cancelled
1900,84,2023-02-22,cancelled
1945,15,2023-02-22,cancelled
2097,59,2023-02-22,delivered
1189,9,2023-02-23,cancelled
1932,81,2023-02-23,delivered
1793,103,2023-02-24,delivered
1832,69,2023-02-24,pending
1380,17,2023-02-26,delivered
1785,55,2023-02-26,shipped
1405,146,2023-02-27,processing
1566,81,2023-02-28,delivered
1627,55,2023-02-28,delivered
2004,128,2023-02-28,shipped
2081,102,2023-03-01,delivered
1481,118,2023-03-02,delivered
1512,37,2023-03-02,delivered
1524,68,2023-03-02,pending
1563,36,2023-03-02,shipped
1729,64,2023-03-03,delivered
1611,144,2023-03-04,cancelled
1147,138,2023-03-05,cancelled
1494,68,2023-03-05,returned
1610,150,2023-03-05,delivered
1716,110,2023-03-05,processing
1877,150,2023-03-05,delivered
1094,103,2023-03-07,delivered
1992,93,2023-03-07,processing
1166,57,2023-03-08,cancelled
1249,36,2023-03-08,delivered
2086,131,2023-03-08,delivered
1210,127,2023-03-09,cancelled
1206,24,2023-03-10,delivered
1263,13,2023-03-12,delivered
1449,29,2023-03-14,shipped
1084,40,2023-03-15,delivered
1437,41,2023-03-16,shipped
1670,109,2023-03-17,shipped
